<<<<<<< HEAD
192.168.1.64 - - [24/Aug/2019:05:54:15 +0000] "GET / HTTP/1.1" 404 60 "-" "avast! Antivirus"
127.0.0.1 - - [18/Sep/2019:08:12:05 +0000] "POST /ronaldSengkey/fitClub/api/v1/user HTTP/1.1" 415 208 "http://192.168.0.13:3000/memberregistration.html" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36"
127.0.0.1 - - [18/Sep/2019:09:34:18 +0000] "POST /ronaldSengkey/fitClub/api/v1/user HTTP/1.1" 415 208 "http://192.168.0.13:3000/memberregistration.html" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36"
127.0.0.1 - - [18/Sep/2019:09:39:49 +0000] "POST /ronaldSengkey/fitClub/api/v1/user HTTP/1.1" 415 208 "http://192.168.0.13:3000/memberregistration.html" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36"
127.0.0.1 - - [18/Sep/2019:09:42:22 +0000] "POST /ronaldSengkey/fitClub/api/v1/user HTTP/1.1" 415 208 "http://192.168.0.13:3000/memberregistration.html" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36"
127.0.0.1 - - [18/Sep/2019:09:45:44 +0000] "POST /ronaldSengkey/fitClub/api/v1/user HTTP/1.1" 400 93 "http://192.168.0.13:3000/memberregistration.html" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36"
127.0.0.1 - - [18/Sep/2019:10:21:15 +0000] "POST /ronaldSengkey/fitClub/api/v1/user HTTP/1.1" 400 93 "http://192.168.0.13:3000/memberregistration.html" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36"
127.0.0.1 - - [18/Sep/2019:10:27:03 +0000] "POST /ronaldSengkey/fitClub/api/v1/user HTTP/1.1" 404 60 "http://192.168.0.13:3000/memberregistration.html" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36"
127.0.0.1 - - [18/Sep/2019:17:35:54 +0000] "POST /ronaldSengkey/fitClub/api/v1/registerregister HTTP/1.1" 404 60 "http://192.168.0.13:3000/memberregistration.html" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Mobile Safari/537.36"
127.0.0.1 - - [01/Oct/2019:01:11:14 +0000] "POST /ronaldSengkey/fitClub/api/v1/login/sjhgdfhsdgfhsd HTTP/1.1" 415 208 "http://192.168.0.7:3000/index.html" "Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Mobile Safari/537.36"
127.0.0.1 - - [02/Oct/2019:02:36:14 +0000] "GET /core/js/api/web-rules?callback=json922762748839724&id= HTTP/1.1" 404 126 "https://mdbootstrap.com/docs/jquery/navigation/hamburger-menu/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
127.0.0.1 - - [02/Oct/2019:02:40:01 +0000] "GET /core/js/api/web-rules?callback=json4152687779240773&id= HTTP/1.1" 404 127 "https://mdbootstrap.com/docs/jquery/navigation/hamburger-menu/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
127.0.0.1 - - [02/Oct/2019:03:40:36 +0000] "GET /core/js/api/web-rules?callback=json6251524553141729&id= HTTP/1.1" 404 127 "https://mdbootstrap.com/docs/jquery/navigation/hamburger-menu/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
